"ID","Sources","Emissions","Periods","EmissionsDutchTerritory_1"
"464","A049055","A044117","2020JJ00","     3.4"
"465","A049055","A044115","1990JJ00","   203.0"
"466","A049055","A044115","1991JJ00","   174.1"
"467","A049055","A044115","1992JJ00","   163.7"
"468","A049055","A044115","1993JJ00","   150.9"
"469","A049055","A044115","1994JJ00","   140.5"
"470","A049055","A044115","1995JJ00","   129.2"
"471","A049055","A044115","1996JJ00","   119.4"
"472","A049055","A044115","1997JJ00","   110.0"
"473","A049055","A044115","1998JJ00","   101.4"
"474","A049055","A044115","1999JJ00","    94.0"
"475","A049055","A044115","2000JJ00","    81.7"
"476","A049055","A044115","2001JJ00","    75.2"
"477","A049055","A044115","2002JJ00","    69.2"
"478","A049055","A044115","2003JJ00","    64.8"
"479","A049055","A044115","2004JJ00","    61.4"
"480","A049055","A044115","2005JJ00","    57.6"
"481","A049055","A044115","2006JJ00","    55.3"
"482","A049055","A044115","2007JJ00","    52.3"
"483","A049055","A044115","2008JJ00","    51.8"
"484","A049055","A044115","2009JJ00","    49.4"
"485","A049055","A044115","2010JJ00","    47.5"
"486","A049055","A044115","2011JJ00","    45.7"
"487","A049055","A044115","2012JJ00","    43.7"
"488","A049055","A044115","2013JJ00","    41.9"
"489","A049055","A044115","2014JJ00","    39.3"
"490","A049055","A044115","2015JJ00","    38.6"
"491","A049055","A044115","2016JJ00","    37.7"
"492","A049055","A044115","2017JJ00","    37.3"
"493","A049055","A044115","2018JJ00","    36.3"
"494","A049055","A044115","2019JJ00","    35.6"
"495","A049055","A044115","2020JJ00","    34.9"
"496","A049055","A044107","1990JJ00","     7.7"
"497","A049055","A044107","1991JJ00","     6.6"
"498","A049055","A044107","1992JJ00","     6.3"
"499","A049055","A044107","1993JJ00","     5.7"
"500","A049055","A044107","1994JJ00","     5.4"
"501","A049055","A044107","1995JJ00","     5.1"
"502","A049055","A044107","1996JJ00","     4.9"
"503","A049055","A044107","1997JJ00","     4.6"
"504","A049055","A044107","1998JJ00","     4.3"
"505","A049055","A044107","1999JJ00","     4.1"
"506","A049055","A044107","2000JJ00","     3.8"
"507","A049055","A044107","2001JJ00","     3.7"
"508","A049055","A044107","2002JJ00","     3.6"
"509","A049055","A044107","2003JJ00","     3.5"
"510","A049055","A044107","2004JJ00","     3.5"
"511","A049055","A044107","2005JJ00","     3.4"
"512","A049055","A044107","2006JJ00","     3.3"
"513","A049055","A044107","2007JJ00","     3.2"
"514","A049055","A044107","2008JJ00","     3.2"
"515","A049055","A044107","2009JJ00","     3.1"
"516","A049055","A044107","2010JJ00","     3.0"
"517","A049055","A044107","2011JJ00","     2.9"
"518","A049055","A044107","2012JJ00","     2.8"
"519","A049055","A044107","2013JJ00","     2.8"
"520","A049055","A044107","2014JJ00","     2.7"
"521","A049055","A044107","2015JJ00","     2.7"
"522","A049055","A044107","2016JJ00","     2.6"
"523","A049055","A044107","2017JJ00","     2.6"
"524","A049055","A044107","2018JJ00","     2.6"
"525","A049055","A044107","2019JJ00","     2.7"
"526","A049055","A044107","2020JJ00","     2.6"
"527","A049055","A044118","1990JJ00","   195.3"
"528","A049055","A044118","1991JJ00","   167.6"
"529","A049055","A044118","1992JJ00","   157.5"
"530","A049055","A044118","1993JJ00","   145.2"
"531","A049055","A044118","1994JJ00","   135.1"
"532","A049055","A044118","1995JJ00","   124.1"
"533","A049055","A044118","1996JJ00","   114.5"
"534","A049055","A044118","1997JJ00","   105.4"
"535","A049055","A044118","1998JJ00","    97.1"
"536","A049055","A044118","1999JJ00","    89.9"
"537","A049055","A044118","2000JJ00","    77.9"
"538","A049055","A044118","2001JJ00","    71.6"
"539","A049055","A044118","2002JJ00","    65.6"
"540","A049055","A044118","2003JJ00","    61.3"
"541","A049055","A044118","2004JJ00","    57.9"
"542","A049055","A044118","2005JJ00","    54.2"
"543","A049055","A044118","2006JJ00","    52.0"
"544","A049055","A044118","2007JJ00","    49.1"
"545","A049055","A044118","2008JJ00","    48.6"
"546","A049055","A044118","2009JJ00","    46.3"
"547","A049055","A044118","2010JJ00","    44.4"
"548","A049055","A044118","2011JJ00","    42.7"
"549","A049055","A044118","2012JJ00","    40.9"
"550","A049055","A044118","2013JJ00","    39.1"
"551","A049055","A044118","2014JJ00","    36.7"
"552","A049055","A044118","2015JJ00","    36.0"
"553","A049055","A044118","2016JJ00","    35.1"
"554","A049055","A044118","2017JJ00","    34.7"
"555","A049055","A044118","2018JJ00","    33.7"
"556","A049055","A044118","2019JJ00","    33.0"
"557","A049055","A044118","2020JJ00","    32.3"
"558","A049055","A044112","1990JJ00","   308.7"
"559","A049055","A044112","1991JJ00","   299.0"
"560","A049055","A044112","1992JJ00","   291.6"
"561","A049055","A044112","1993JJ00","   273.7"
"562","A049055","A044112","1994JJ00","   257.7"
"563","A049055","A044112","1995JJ00","   245.6"
"564","A049055","A044112","1996JJ00","   235.3"
"565","A049055","A044112","1997JJ00","   231.4"
"566","A049055","A044112","1998JJ00","   220.3"
"567","A049055","A044112","1999JJ00","   221.3"
"568","A049055","A044112","2000JJ00","   214.0"
"569","A049055","A044112","2001JJ00","   208.3"
"570","A049055","A044112","2002JJ00","   200.6"
"571","A049055","A044112","2003JJ00","   196.4"
