EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 18-11-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : precipitation amount in 0.1 mm
30-34 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the series (SOUID: 108974) of NETHERLANDS, AMSTERDAM (STAID: 2358)
See file sources.txt for more info.



 STAID, SOUID,    DATE,   RR, Q_RR
  2358,108974,19321205,   65,    0
  2358,108974,19321206,   19,    0
  2358,108974,19321207,    0,    0
  2358,108974,19321208,    0,    0
  2358,108974,19321209,    0,    0
  2358,108974,19321210,    0,    0
  2358,108974,19321211,    0,    0
  2358,108974,19321212,    0,    0
  2358,108974,19321213,   13,    0
  2358,108974,19321214,    0,    0
  2358,108974,19321215,    6,    0
  2358,108974,19321216,    1,    0
  2358,108974,19321217,    0,    0
  2358,108974,19321218,    0,    0
  2358,108974,19321219,    0,    0
  2358,108974,19321220,    0,    0
  2358,108974,19321221,    0,    0
  2358,108974,19321222,    3,    0
  2358,108974,19321223,    2,    0
  2358,108974,19321224,    1,    0
  2358,108974,19321225,    5,    0
  2358,108974,19321226,    0,    0
  2358,108974,19321227,   10,    0
  2358,108974,19321228,    1,    0
  2358,108974,19321229,    0,    0
  2358,108974,19321230,   14,    0
  2358,108974,19321231,    1,    0
  2358,108974,19330101,    1,    0
  2358,108974,19330102,    0,    0
  2358,108974,19330103,    8,    0
  2358,108974,19330104,    1,    0
  2358,108974,19330105,   47,    0
  2358,108974,19330106,   16,    0
  2358,108974,19330107,   26,    0
  2358,108974,19330108,   29,    0
  2358,108974,19330109,    2,    0
  2358,108974,19330110,    3,    0
  2358,108974,19330111,   30,    0
  2358,108974,19330112,    0,    0
  2358,108974,19330113,    0,    0
  2358,108974,19330114,    0,    0
  2358,108974,19330115,    0,    0
  2358,108974,19330116,    0,    0
  2358,108974,19330117,    0,    0
  2358,108974,19330118,    0,    0
  2358,108974,19330119,    0,    0
  2358,108974,19330120,    0,    0
  2358,108974,19330121,    0,    0
  2358,108974,19330122,    7,    0
  2358,108974,19330123,    8,    0
  2358,108974,19330124,    0,    0
  2358,108974,19330125,    0,    0
  2358,108974,19330126,    0,    0
  2358,108974,19330127,    0,    0
  2358,108974,19330128,    2,    0
  2358,108974,19330129,    1,    0
  2358,108974,19330130,   16,    0
  2358,108974,19330131,    0,    0
  2358,108974,19330201,  179,    0
  2358,108974,19330202,    0,    0
  2358,108974,19330203,   65,    0
  2358,108974,19330204,    5,    0
  2358,108974,19330205,    0,    0
  2358,108974,19330206,    4,    0
  2358,108974,19330207,   23,    0
  2358,108974,19330208,    1,    0
  2358,108974,19330209,    5,    0
  2358,108974,19330210,   14,    0
  2358,108974,19330211,    0,    0
  2358,108974,19330212,    0,    0
  2358,108974,19330213,    5,    0
  2358,108974,19330214,    6,    0
  2358,108974,19330215,    9,    0
  2358,108974,19330216,   16,    0
  2358,108974,19330217,   17,    0
  2358,108974,19330218,    1,    0
  2358,108974,19330219,    0,    0
  2358,108974,19330220,   23,    0
  2358,108974,19330221,   40,    0
  2358,108974,19330222,    1,    0
  2358,108974,19330223,    1,    0
  2358,108974,19330224,    0,    0
  2358,108974,19330225,    0,    0
  2358,108974,19330226,    0,    0
  2358,108974,19330227,    0,    0
  2358,108974,19330228,    0,    0
  2358,108974,19330301,   22,    0
  2358,108974,19330302,   93,    0
  2358,108974,19330303,  119,    0
  2358,108974,19330304,    0,    0
  2358,108974,19330305,    0,    0
  2358,108974,19330306,   71,    0
  2358,108974,19330307,    4,    0
  2358,108974,19330308,    0,    0
  2358,108974,19330309,    0,    0
  2358,108974,19330310,    0,    0
  2358,108974,19330311,    0,    0
  2358,108974,19330312,    0,    0
  2358,108974,19330313,    0,    0
  2358,108974,19330314,    1,    0
  2358,108974,19330315,    0,    0
  2358,108974,19330316,   47,    0
  2358,108974,19330317,   92,    0
  2358,108974,19330318,   45,    0
  2358,108974,19330319,  122,    0
  2358,108974,19330320,    4,    0
  2358,108974,19330321,    0,    0
  2358,108974,19330322,    0,    0
  2358,108974,19330323,    0,    0
  2358,108974,19330324,    0,    0
  2358,108974,19330325,    0,    0
  2358,108974,19330326,    1,    0
  2358,108974,19330327,    1,    0
  2358,108974,19330328,    0,    0
  2358,108974,19330329,    0,    0
  2358,108974,19330330,    0,    0
  2358,108974,19330331,   27,    0
  2358,108974,19330401,    9,    0
  2358,108974,19330402,   17,    0
  2358,108974,19330403,    0,    0
  2358,108974,19330404,    0,    0
  2358,108974,19330405,    0,    0
  2358,108974,19330406,    0,    0
  2358,108974,19330407,    4,    0
  2358,108974,19330408,    0,    0
  2358,108974,19330409,   15,    0
  2358,108974,19330410,    1,    0
  2358,108974,19330411,    0,    0
  2358,108974,19330412,    0,    0
  2358,108974,19330413,    0,    0
  2358,108974,19330414,    0,    0
  2358,108974,19330415,    0,    0
  2358,108974,19330416,    0,    0
  2358,108974,19330417,    0,    0
  2358,108974,19330418,    4,    0
  2358,108974,19330419,   18,    0
  2358,108974,19330420,    1,    0
  2358,108974,19330421,    0,    0
  2358,108974,19330422,    7,    0
  2358,108974,19330423,    0,    0
  2358,108974,19330424,    0,    0
  2358,108974,19330425,   20,    0
  2358,108974,19330426,    0,    0
  2358,108974,19330427,    0,    0
  2358,108974,19330428,    0,    0
  2358,108974,19330429,   58,    0
  2358,108974,19330430,    0,    0
  2358,108974,19330501,    0,    0
  2358,108974,19330502,    0,    0
  2358,108974,19330503,    0,    0
  2358,108974,19330504,    0,    0
  2358,108974,19330505,   33,    0
  2358,108974,19330506,   71,    0
  2358,108974,19330507,  111,    0
  2358,108974,19330508,   33,    0
  2358,108974,19330509,   93,    0
  2358,108974,19330510,   29,    0
  2358,108974,19330511,   10,    0
  2358,108974,19330512,    0,    0
  2358,108974,19330513,   92,    0
  2358,108974,19330514,   39,    0
  2358,108974,19330515,    2,    0
  2358,108974,19330516,    0,    0
  2358,108974,19330517,    0,    0
  2358,108974,19330518,    0,    0
  2358,108974,19330519,    0,    0
  2358,108974,19330520,    0,    0
  2358,108974,19330521,    0,    0
  2358,108974,19330522,    0,    0
  2358,108974,19330523,    0,    0
  2358,108974,19330524,   23,    0
  2358,108974,19330525,  260,    0
  2358,108974,19330526,    0,    0
  2358,108974,19330527,    0,    0
  2358,108974,19330528,    0,    0
  2358,108974,19330529,    0,    0
  2358,108974,19330530,    0,    0
  2358,108974,19330531,    0,    0
  2358,108974,19330601,    0,    0
  2358,108974,19330602,    0,    0
  2358,108974,19330603,    0,    0
  2358,108974,19330604,    0,    0
  2358,108974,19330605,    0,    0
  2358,108974,19330606,    0,    0
  2358,108974,19330607,    0,    0
  2358,108974,19330608,    0,    0
  2358,108974,19330609,    3,    0
  2358,108974,19330610,    0,    0
  2358,108974,19330611,   18,    0
  2358,108974,19330612,   54,    0
  2358,108974,19330613,    0,    0
  2358,108974,19330614,    0,    0
  2358,108974,19330615,    0,    0
  2358,108974,19330616,   45,    0
  2358,108974,19330617,  134,    0
  2358,108974,19330618,   12,    0
  2358,108974,19330619,   62,    0
  2358,108974,19330620,  115,    0
  2358,108974,19330621,   14,    0
  2358,108974,19330622,   89,    0
  2358,108974,19330623,    0,    0
  2358,108974,19330624,   43,    0
  2358,108974,19330625,    0,    0
  2358,108974,19330626,   20,    0
  2358,108974,19330627,    4,    0
  2358,108974,19330628,   15,    0
  2358,108974,19330629,   16,    0
  2358,108974,19330630,    0,    0
  2358,108974,19330701,    0,    0
  2358,108974,19330702,    0,    0
  2358,108974,19330703,    0,    0
  2358,108974,19330704,    0,    0
  2358,108974,19330705,    0,    0
  2358,108974,19330706,    0,    0
  2358,108974,19330707,    0,    0
  2358,108974,19330708,    1,    0
  2358,108974,19330709,   30,    0
  2358,108974,19330710,   24,    0
  2358,108974,19330711,   45,    0
  2358,108974,19330712,   10,    0
  2358,108974,19330713,   76,    0
  2358,108974,19330714,    6,    0
  2358,108974,19330715,  203,    0
  2358,108974,19330716,   16,    0
  2358,108974,19330717,    0,    0
  2358,108974,19330718,    0,    0
  2358,108974,19330719,    0,    0
  2358,108974,19330720,    0,    0
  2358,108974,19330721,   48,    0
  2358,108974,19330722,    0,    0
  2358,108974,19330723,    0,    0
  2358,108974,19330724,    0,    0
  2358,108974,19330725,    0,    0
  2358,108974,19330726,    0,    0
  2358,108974,19330727,   10,    0
  2358,108974,19330728,   32,    0
  2358,108974,19330729,  398,    0
  2358,108974,19330730,    0,    0
  2358,108974,19330731,  111,    0
  2358,108974,19330801,    0,    0
  2358,108974,19330802,    0,    0
  2358,108974,19330803,    0,    0
  2358,108974,19330804,    0,    0
  2358,108974,19330805,    0,    0
  2358,108974,19330806,    0,    0
  2358,108974,19330807,    0,    0
  2358,108974,19330808,    0,    0
  2358,108974,19330809,    0,    0
  2358,108974,19330810,    0,    0
  2358,108974,19330811,   14,    0
  2358,108974,19330812,    1,    0
  2358,108974,19330813,    0,    0
  2358,108974,19330814,    0,    0
  2358,108974,19330815,   10,    0
  2358,108974,19330816,   12,    0
  2358,108974,19330817,   14,    0
  2358,108974,19330818,    0,    0
  2358,108974,19330819,    0,    0
  2358,108974,19330820,   62,    0
  2358,108974,19330821,   50,    0
  2358,108974,19330822,   90,    0
  2358,108974,19330823,   66,    0
  2358,108974,19330824,    6,    0
  2358,108974,19330825,    0,    0
  2358,108974,19330826,    0,    0
  2358,108974,19330827,    0,    0
  2358,108974,19330828,    0,    0
  2358,108974,19330829,    0,    0
  2358,108974,19330830,    0,    0
  2358,108974,19330831,   38,    0
  2358,108974,19330901,   36,    0
  2358,108974,19330902,    0,    0
  2358,108974,19330903,    0,    0
  2358,108974,19330904,    0,    0
  2358,108974,19330905,    0,    0
  2358,108974,19330906,    0,    0
  2358,108974,19330907,    0,    0
  2358,108974,19330908,    0,    0
  2358,108974,19330909,    0,    0
  2358,108974,19330910,    0,    0
  2358,108974,19330911,    0,    0
  2358,108974,19330912,    0,    0
  2358,108974,19330913,  214,    0
  2358,108974,19330914,   28,    0
  2358,108974,19330915,    0,    0
  2358,108974,19330916,    0,    0
  2358,108974,19330917,    0,    0
  2358,108974,19330918,    7,    0
  2358,108974,19330919,    1,    0
  2358,108974,19330920,  135,    0
  2358,108974,19330921,   19,    0
  2358,108974,19330922,    1,    0
  2358,108974,19330923,    5,    0
  2358,108974,19330924,   14,    0
  2358,108974,19330925,   39,    0
  2358,108974,19330926,    8,    0
  2358,108974,19330927,    0,    0
  2358,108974,19330928,    0,    0
  2358,108974,19330929,    1,    0
  2358,108974,19330930,    1,    0
  2358,108974,19331001,    0,    0
  2358,108974,19331002,    3,    0
  2358,108974,19331003,    2,    0
  2358,108974,19331004,    0,    0
  2358,108974,19331005,    0,    0
  2358,108974,19331006,    0,    0
  2358,108974,19331007,   55,    0
  2358,108974,19331008,    4,    0
  2358,108974,19331009,    0,    0
  2358,108974,19331010,    0,    0
  2358,108974,19331011,   12,    0
  2358,108974,19331012,   18,    0
  2358,108974,19331013,    0,    0
  2358,108974,19331014,    0,    0
  2358,108974,19331015,  117,    0
  2358,108974,19331016,  143,    0
  2358,108974,19331017,  101,    0
  2358,108974,19331018,    1,    0
  2358,108974,19331019,    0,    0
  2358,108974,19331020,    0,    0
  2358,108974,19331021,    8,    0
  2358,108974,19331022,    0,    0
  2358,108974,19331023,    1,    0
  2358,108974,19331024,    1,    0
  2358,108974,19331025,   27,    0
  2358,108974,19331026,  121,    0
  2358,108974,19331027,  272,    0
  2358,108974,19331028,    0,    0
  2358,108974,19331029,    0,    0
  2358,108974,19331030,   70,    0
  2358,108974,19331031,  170,    0
  2358,108974,19331101,   52,    0
  2358,108974,19331102,  115,    0
  2358,108974,19331103,    7,    0
  2358,108974,19331104,   17,    0
  2358,108974,19331105,    0,    0
  2358,108974,19331106,   62,    0
  2358,108974,19331107,    4,    0
  2358,108974,19331108,    0,    0
  2358,108974,19331109,    0,    0
  2358,108974,19331110,    6,    0
  2358,108974,19331111,    0,    0
  2358,108974,19331112,    5,    0
  2358,108974,19331113,    0,    0
  2358,108974,19331114,    0,    0
  2358,108974,19331115,   22,    0
  2358,108974,19331116,    0,    0
  2358,108974,19331117,   12,    0
  2358,108974,19331118,    1,    0
  2358,108974,19331119,    1,    0
  2358,108974,19331120,    0,    0
  2358,108974,19331121,    2,    0
  2358,108974,19331122,    7,    0
